site,job_url,job_url_direct,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,emails,description,company_url,company_url_direct,company_addresses,company_industry,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url,search_term,search_date
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009245922323,,Jr. Software Engineer,WEO Media,"Hillsboro, OR",,2024-04-20,yearly,55000.0,65000.0,USD,False,team-hr@weomedia.com,"**Company Overview:**

 **Who We Are:**



WEO Media has over 10 years in the dental marketing space. WEO Media helps hundreds of dentists throughout North America acquire new patients, reactivate past patients, and better communicate with existing patients. We are a full-service dental marketing agency and work with all dentists and specialists.

  

Although we play in a ""big pond"" of marketing agencies, WEO Media still retains a small business feel. We believe deeply in the culture we have built, treating each other with both respect and an outward mindset. Our values are centered around our team, and around doing our best for our clients in all situations.

 **About the job:**

  


You will be collaboratively designing and developing software applications and components. This includes coding, debugging, testing, and troubleshooting throughout the application development process. You will be responsible for generating basic documentation in our tracking system about the components that you developed. You will report to a team lead and work with other engineers. As a Jr. Software Engineer, you will work on multiple projects of limited complexity and one larger project with higher complexity. Work is actively managed. On occasion you may need to provide support to our Operations team and some basic IT support to our team. As a Jr. Software Engineers you will work in targeted regions of our software environment.

 **Responsibilities:**  

* Working with a team of developers to extend current proprietary systems.
* Writing documentation of processes implemented with code.
* Development on API integrations utilizing an established code base.
* Work on 2-3 projects at once, with one of those projects being a larger project.
* Provide support to our Operations team.
* Small level of IT support for covering of other team members.
* Develop and utilize skills for providing estimates of the time needed for projects and the communications of those estimates.
 **Requirements:**  

* Bachelor’s degree in computer science or equivalent.
* 2-3 years coding experience.
* Strong written and verbal communication skills.
* Self-motivated and able to work well in a team in a remote environment.
* Desire to maintain and extend proprietary software systems.
* 2-3 years of database experience
 **Desired skills:**  

* C#/.NET
* Internal tech support
* Google APIs
* Javascript/CSS
* Experience with AI
* Microsoft SQL experience
* 1 year experience working with code repositories
 **Our Benefits:**



We offer 401k with employer contributions, healthcare and dental coverage, 100% remote work, generous vacation and paid sick leave policies, paid volunteer hours, and several paid holidays throughout the year. We have flexible work schedules. WEO Media values our collaborative work environment and considers our culture to be a benefit to our team members as well.

 **More Details:**



This position is full-time salary exempt remote position in eligible states\*. Team members are also required to have use of their own laptop and cell phone for work *(monthly reimbursement given to cover the cost of wear and tear).*

 **Application Process:**



We'd love to hear from you if you meet the characteristics and experience qualifications! Please submit a cover letter (along with your resume) to help us understand why you would be a great fit for the position, and for our company.

 **Equal Opportunity Employer:**



WEO Media provides equal employment opportunities to all employees and applicants for employment without regard to race, color, ancestry, national origin, gender, sexual orientation, marital status, religion, age, disability, gender identity, results of genetic testing, or service in the military. Equal employment opportunity applies to all terms and conditions of employment, including hiring, placement, promotion, termination, layoff, recall, transfer, leave of absence, compensation, and training.

  

WEO Media expressly prohibits any form of unlawful employee harassment or discrimination based on any of the characteristics mentioned above. Improper interference with the ability of other employees to perform their expected job duties is absolutely not tolerated.

 **Accessibility:**



If you need accommodations during the application process, please email team-hr@weomedia.com for assistance.

* *Eligible States include* *the 9 states where we operate as a business entity. Oregon, Washington, California, Utah, Arizona, Pennsylvania, Wisconsin, Texas, and Florida.*",https://www.glassdoor.com/Overview/W-EI_IE1619365.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009246168935,,Software Test Engineer,Firefly Aerospace,"Cedar Park, TX",,2024-04-20,yearly,69558.0,106652.0,USD,False,,"**ABOUT FIREFLY AEROSPACE**


As an end-to-end space transportation company, Firefly Aerospace is on a mission to enable our world to launch, land, and operate in space – anywhere, anytime. Our launch vehicles, lunar landers, and orbital vehicles provide government and commercial customers with full mission services from low Earth orbit to the surface of the Moon and beyond. Headquartered in north Austin, Texas, Firefly is looking for passionate, hardworking innovators to join our team and help fuel our successful trajectory into space.


**SUMMARY**


Your role as a Firefly Embedded Software Test Engineer is pivotal in ensuring the reliability and safety of embedded software for use on launch vehicles and spacecraft. You will play a crucial role in upholding the highest standards of quality and reliability in our aerospace software systems.


This role offers exciting opportunities for professional growth and development, including the chance to work on cutting-edge technologies and lead projects that have a direct impact on the future of space exploration. We encourage continuous learning and support employees in pursuing advanced certifications and professional development opportunities.


You will be part of the Aerospace Software Engineering Group and will work closely with Embedded Software and Avionics personnel to provide thorough tests for our software before use on a launch vehicle, spacecraft, or launch site.


**RESPONSIBILITIES**


* Design and develop test procedures for our embedded software in all-digital and hardware-in-the-loop simulation environments
* Develop software for automating test case execution and report generation
* Setup automated regression testing of commits of new embedded software and act as a peer reviewer for merge/pull requests
* Create unit tests for simulation models, Flight Software, and Ground Software
* Adhere to customer test requirements, whether internal or external
* Develop and document requirements, designs, plans, and schedules
* Provide accurate test development milestones and communicate them to the group
* Use Firefly Aerospace Software Engineering development processes and best practices
* Actively learn new test technologies and techniques and apply them to Firefly Embedded Software testing


**QUALIFICATIONS**


**Required**


* Bachelor's degree in Computer Science, Engineering, or a related technical field, or equivalent practical experience, with a strong portfolio demonstrating relevant projects and accomplishments.
* Fulltime Industry experience with formal software testing and reporting
* Proficient in Python
* Experience in TeamCity, Jenkins or similar CI/CD frameworks
* Development experience under the Linux operating system
* Knowledge of the Agile Software Development Model
* Use of Git version control on a commercial software product
* Basic understanding of a completely functional CI/CD pipeline
* In addition to technical expertise, strong communication skills and the ability to collaborate effectively with cross-functional teams are essential for success in this role. Attention to detail, adaptability, and a proactive attitude towards learning new technologies are also highly valued.


**Desired**


* Advanced degree in Software Engineering, Computer Sciences, or Computer Engineering
* 3 to 5+ years of experience with formal software testing and reporting for releases, FQT and/or Software Certification
* Proficient in C++ and/or Go
* Practical experience using an Agile Software Development framework like Kanban, SCRUM, or Lean Development
* Practical experience with regulatory standards such as DO-178C, NASA NPR 7150.2C, RCC 319-19, or AFSPCMAN 91-710 Vol 3 is highly desirable. Candidates with a demonstrated understanding of these standards and their application in aerospace software development will be given preference.


**Firefly offers outstanding benefits for our employees, including generous health, dental and vision plans with low plan deductibles, parental leave, educational reimbursement, short term disability, and flexible PTO options.**


*To conform to U.S. Government space technology export regulations, including the International Traffic in Arms Regulations (ITAR) you must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State.*


*Firefly Aerospace, Inc. is an Equal Opportunity Employer; employment with Firefly is governed based on merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.*",https://www.glassdoor.com/Overview/W-EI_IE2571573.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009245504615,,Cloud Engineer,General Dynamics Information Technology,"Tampa, FL",,2024-04-20,,,,,False,,"Cloud Developer Advisor  

  

\*\*\*This is a Template. Modify sections with asterisks and remove all asterisks.\*\*\*  

  

Own the opportunity as a Cloud Developer Advisor and help ensure the mission is never interrupted. At GDIT, we deliver clarity with our cloud solutions and provide meaningful work. Your work will be an important part of transforming our clients for the modern age and help them face any obstacle.  

  

At GDIT, people are our differentiator. As a Cloud Developer Advisor you will help ensure today is safe and tomorrow is smarter. Our work depends on Cloud Developer Advisor joining our team to \*\*DESCRIBE HOW THE ROLE WILL HAVE AN IMPACT ON THE CLIENT'S MISSION.\*\*  

  

HOW A CLOUD DEVELOPER ADVISOR WILL MAKE AN IMPACT  

* Designs, architects, deploys and maintains cloud solutions.
* \*\*Describe interactions with the team to achieve the mission\*\*
* \*\* Indicate how they will work with the team to resolve challenges\*\*
* \*\*Highlight any unique team dynamics\*\*
* \*\*Add relevant responsibilities and describe why work is meaningful\*\*
* \*\* Specify how they will use relevant skills or technologies in the role\*\*

  

WHAT YOU'LL NEED TO SUCCEED:  

* Education: Technical Training, Certification(s) or Degree\*\*Specific degree requirements (if applicable, remove if position does not require a degree)\*\*
* Required Experience: 5+ years of related experience \*\*Specific number of years/months of (GENERAL OR RELATED) experience (only increase experience required, do not decrease. If less experience is required, please select a different job title.) \*\*
* Required Technical Skills: \*\*Specific skill sets required\*\*
* Security Clearance Level: \*\*If applicable\*\*
* Required Skills and Abilities: \*\*Other specific skills or competencies (communication, problem solving, etc.)\*\*
* Preferred Skills: \*\*Preferred skills, keep in mind that what you post here may limit your applicant pool\*\*
* Location:\*\* Remote, Hybrid, On Customer Site\*\*
* \*\*US Citizenship Required - Remove if US Citizenship is not a requirement for the position\*\*

  

GDIT IS YOUR PLACE:  

* Full-flex work week to own your priorities at work and at home\*\* (remove if not eligible)\*\*
* 401K with company match
* Comprehensive health and wellness packages
* Internal mobility team dedicated to helping you own your career
* Professional growth opportunities including paid education and certifications
* Cutting-edge technology you can learn from
* Rest and recharge with paid vacation and holidays \*\*(remove if not eligible)\*\*

  

Work Requirements  

  

.cls-1{fill:none;stroke:#5b6670;stroke-miterlimit:10;stroke-width:2px}
  

Years of Experience
  

0 + years of related experience  

  

* may vary based on technical training, certification(s), **or** degree

  

.cls-2{fill:none;stroke:#5b6670;stroke-miterlimit:10;stroke-width:2px}
  

Certification  

  

Travel Required
  

Less than 10%  

  

.cls-3{fill:none;stroke:#5d666f;stroke-miterlimit:10}
  

Citizenship
  

U.S. Citizenship Required  

  

About Our Work  

  

We are GDIT. A global technology and professional services company that delivers consulting, technology and mission services to every major agency across the U.S. government, defense and intelligence community. Our 30,000 experts extract the power of technology to create immediate value and deliver solutions at the edge of innovation. We operate across 30 countries worldwide, offering leading capabilities in digital modernization, AI/ML, Cloud, Cyber and application development. Together with our clients, we strive to create a safer, smarter world by harnessing the power of deep expertise and advanced technology.
  

  

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",https://www.glassdoor.com/Overview/W-EI_IE18661.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009243351304,,Junior Software Developer,WT Cox Information Services,,,2024-04-18,yearly,45000.0,60000.0,USD,True,,"**Job Overview:**

We are seeking a full-time software developer to join our IT/Software Development team. You will play an integral role developing, enhancing, and maintaining our customer and internal facing web-based systems vital to our day-to-day business operations and the success of the company. Primary job responsibilities include (but are not limited to) ​implementing software as per requirements, writing automated tests, debugging system issues, authoring system reports, and reviewing the work of your peers.

**Note: We are unable to sponsor H-1B Work Visas**

**Requirements:**

Bachelors degree (or higher) in computer science, information systems, or related field of study.

* 2+ years’ experience developing database driven web-applications in Java.
* Fluency with SQL.
* Strong knowledge of relational database design.
* Capable of working both independently and as part of a team.​
* Capacity to adapt to new languages/frameworks quickly.
* Ability to think about problems critically and solve complex problems.
* Passion for software development.

**Other Preferred Skills:**

* Experience working with the JEE platform (JSF/JPA/EJB).
* Fluency with Primefaces, React, Angular or comparable front-end framework is a plus.
* Familiarity with the JBoss Application Server / Apache Tomcat / Wildfly.
* Strong knowledge of MariaDB / MySQL.
* Background with Docker.
* Comfort using Linux.

Join us in a challenging yet rewarding environment where your skills will be nurtured and your contributions valued. Apply now to be part of our innovative team!

**About Us:**

WT Cox Information Services (www.wtcox.com) is a Library Information Services company headquartered in Southeastern North Carolina. For more than 50 years we have been serving thousands of libraries nationwide, providing management solutions that simplify the procurement, access, and ongoing maintenance of their various Magazine, Journal, Digital, and other E-Resource subscriptions.

Job Type: Full-time

Pay: $45,000.00 - $60,000.00 per year

Benefits:

* 401(k) 3% Match
* Dental insurance
* Flexible spending account
* Health insurance
* Health savings account
* Life insurance
* Paid holidays
* Paid sick time
* Paid time off
* Prescription drug insurance
* Work from home

Compensation package:

* Yearly pay

Experience level:

* 2 years
* 3 years

Schedule:

* Monday to Friday

Work Location: Remote",,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009243444494,,AWS Developer,SYSTEMTEC,United States,,2024-04-18,,,,,False,,"**SYSTEMTEC** is seeking an **AWS Developer** for a **Remote** opportunity. The manager is looking for someone with experience in Big Data technologies such as AWS EMR, CDK and CloudFormation.

**Required Qualifications of the AWS Developer:**

* Applicants must be authorized to work for any employer in the U.S. We are unable to provide sponsorship or work with Third-Party agencies.
* Bachelor or Associate’s Degree in Computer Science, Information Technology or other job related degree
* 8 years-of application development, systems testing or other job related experience
* Must have AWS Cloud experience
* Must have experience with some of the following:
* EMR, State Machines, Step Functions, CDK, Glue, TypeScript, CloudWatch AWS storage – S3, Glacier Archival Storage Spark Scala Python

**Responsibilities of the AWS Developer:**

* Review and analyze systems, streamlining processes to ensure efficient, consistent use of all resources and adjusting designs to maximize reusability and reduce costs across subsystems
* Provide technology solutions and prototypes to be used as the basis or template for more complicated business/technical requirements
* Research, diagnose, and develop fixes for defects in existing code
* Address maintenance issues related to current development, testing, and production
* Work closely with customers, business analysts, and team members to determine business requirements that drive the analysis and design of quality technical solutions
* Ensure solutions are aligned with business and IT strategies and comply with the organization’s architectural standards

**Work Location: Remote. On-Site 1 day/week is preferred**

**\*\*\*Please note: We are not currently able to hire candidates who reside or work in California, New York, or New Jersey. \*\*\***

Job Type: Contract

Benefits:

* 401(k)
* Dental insurance
* Health insurance
* Life insurance
* Vision insurance

Experience level:

* 8 years

Schedule:

* 8 hour shift

Application Question(s):

* Are you authorized to work for any employer in the U.S. without sponsorship? (No C2C or Third Parties)

Experience:

* Application development: 8 years (Required)

Work Location: Remote",https://www.glassdoor.com/Overview/W-EI_IE266176.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009241380259,,Salesforce Developer with MuleSoft Experience (REMOTE),Everlight Solar,"Louisville, KY",,2024-04-17,yearly,95000.0,100000.0,USD,False,,"Everlight Solar is seeking a skilled Salesforce Developer who will design and code functional programs and applications, producing fully functional software applications according to requirements. As a Salesforce Developer, you play a key role in serving our clients and team members. This will be a full-time, work-from-home ""remote"" position.


**Must own a Mac computer and be fluent with the Apple ecosystem of software (iOS, macOS, iWork, etc.)**


Everlight Solar is a rapidly growing company and the leader of solar energy in the Midwest. We offer a unique experience that fosters individual growth and rewards performance. Our culture at Everlight is extremely important to us. The work environment is fast-paced and dynamic. We value teamwork, quality, innovation, and customer success. Our ideal candidate is self-motivated, detail-oriented, has excellent problem-solving abilities, is passionate about delivering results on-time, exceeding expectations, and ensuring success for our teams.


**Responsibilities:**


* Ensure consistent alignment of Sales and Marketing to optimize the sales process with a focus on improving and evolving a qualified lead process, distribution, and management.
* Provide Sales and Marketing with accurate reporting on the organization's key performance indicators on a consistent basis including actionable steps to improve the experience delivered to current and future customers
* Demonstrated ability to meet deadlines, handle and prioritize simultaneous requests, and manage laterally and upwards
* Creative and analytical thinker with strong problem-solving skills
* Ability to critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs
* Ability to assess the impact of new requirements on Salesforce.com and all upstream and downstream applications, systems and processes


**Requirements:**


* Minimum two years of experience as a Salesforce.com Developer
* Salesforce.com Certified Platform Developer 1 certification required
* Salesforce.com Certified Platform Developer 2 certification preferred
* Minimum two years of experience as a Mulesoft Developer
* MuleSoft Developer Certification - Level 1 Certification Required
* MuleSoft Developer Certification - Level 1 Certification Preferred
* MuleSoft Certified Integration Architect - Level 1 certification Preferred
* Experience building REST and SOAP-based APIs using Mule ESB flows with API-led connectivity architecture.
* Proven ability to design and implement new processes and facilitate user adoption.
* Strong understanding of the platform, with the ability to build custom apps and objects, formula fields, workflows, custom views, Apex classes and other content of advanced complexity
* Strong understanding of Salesforce.com best practices and functionality
* Strong data management abilities
* A documented history of successfully driving projects to completion
* A demonstrated ability to understand and articulate complex requirements
* Excellent project management skills and a positive attitude
* Must demonstrate exceptional verbal and written communication skills
* Must demonstrate ability to communicate effectively at all levels of the organization


**Benefits:**

  

* Health Insurance
* Dental Insurance
* Vision Insurance
* Life Insurance
* PTO
* Sick and Safe Time
* Paid Holidays Off


**Salary: $95,000-100,000/ year**


*Everlight Solar is proudly an Equal Opportunity Employer. We value diversity of all types and are excited to work with talented individuals from a wide range of backgrounds. Everlight is committed to inclusion and we invite people of any race, creed, color, national origin, ancestry, marital status, sexual orientation, gender identity or expression, disability, nationality or sex, age groups (18+), and levels of education to apply. Authorized to work in the US and background check required.*",https://www.glassdoor.com/Overview/W-EI_IE3183804.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009241351423,,Salesforce Developer with MuleSoft Experience (REMOTE),Everlight Solar,"Colorado Springs, CO",,2024-04-17,yearly,95000.0,100000.0,USD,False,,"Everlight Solar is seeking a skilled Salesforce Developer who will design and code functional programs and applications, producing fully functional software applications according to requirements. As a Salesforce Developer, you play a key role in serving our clients and team members. This will be a full-time, work-from-home ""remote"" position.


**Must own a Mac computer and be fluent with the Apple ecosystem of software (iOS, macOS, iWork, etc.)**


Everlight Solar is a rapidly growing company and the leader of solar energy in the Midwest. We offer a unique experience that fosters individual growth and rewards performance. Our culture at Everlight is extremely important to us. The work environment is fast-paced and dynamic. We value teamwork, quality, innovation, and customer success. Our ideal candidate is self-motivated, detail-oriented, has excellent problem-solving abilities, is passionate about delivering results on-time, exceeding expectations, and ensuring success for our teams.


**Responsibilities:**


* Ensure consistent alignment of Sales and Marketing to optimize the sales process with a focus on improving and evolving a qualified lead process, distribution, and management.
* Provide Sales and Marketing with accurate reporting on the organization's key performance indicators on a consistent basis including actionable steps to improve the experience delivered to current and future customers
* Demonstrated ability to meet deadlines, handle and prioritize simultaneous requests, and manage laterally and upwards
* Creative and analytical thinker with strong problem-solving skills
* Ability to critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs
* Ability to assess the impact of new requirements on Salesforce.com and all upstream and downstream applications, systems and processes


**Requirements:**


* Minimum two years of experience as a Salesforce.com Developer
* Salesforce.com Certified Platform Developer 1 certification required
* Salesforce.com Certified Platform Developer 2 certification preferred
* Minimum two years of experience as a Mulesoft Developer
* MuleSoft Developer Certification - Level 1 Certification Required
* MuleSoft Developer Certification - Level 1 Certification Preferred
* MuleSoft Certified Integration Architect - Level 1 certification Preferred
* Experience building REST and SOAP-based APIs using Mule ESB flows with API-led connectivity architecture.
* Proven ability to design and implement new processes and facilitate user adoption.
* Strong understanding of the platform, with the ability to build custom apps and objects, formula fields, workflows, custom views, Apex classes and other content of advanced complexity
* Strong understanding of Salesforce.com best practices and functionality
* Strong data management abilities
* A documented history of successfully driving projects to completion
* A demonstrated ability to understand and articulate complex requirements
* Excellent project management skills and a positive attitude
* Must demonstrate exceptional verbal and written communication skills
* Must demonstrate ability to communicate effectively at all levels of the organization


**Benefits:**

  

* Health Insurance
* Dental Insurance
* Vision Insurance
* Life Insurance
* PTO
* Sick and Safe Time
* Paid Holidays Off


**Salary: $95,000-100,000/ year**


*Everlight Solar is proudly an Equal Opportunity Employer. We value diversity of all types and are excited to work with talented individuals from a wide range of backgrounds. Everlight is committed to inclusion and we invite people of any race, creed, color, national origin, ancestry, marital status, sexual orientation, gender identity or expression, disability, nationality or sex, age groups (18+), and levels of education to apply. Authorized to work in the US and background check required.*",https://www.glassdoor.com/Overview/W-EI_IE3183804.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009241381299,,Salesforce Developer with MuleSoft Experience (REMOTE),Everlight Solar,"Memphis, TN",,2024-04-17,yearly,95000.0,100000.0,USD,False,,"Everlight Solar is seeking a skilled Salesforce Developer who will design and code functional programs and applications, producing fully functional software applications according to requirements. As a Salesforce Developer, you play a key role in serving our clients and team members. This will be a full-time, work-from-home ""remote"" position.


**Must own a Mac computer and be fluent with the Apple ecosystem of software (iOS, macOS, iWork, etc.)**


Everlight Solar is a rapidly growing company and the leader of solar energy in the Midwest. We offer a unique experience that fosters individual growth and rewards performance. Our culture at Everlight is extremely important to us. The work environment is fast-paced and dynamic. We value teamwork, quality, innovation, and customer success. Our ideal candidate is self-motivated, detail-oriented, has excellent problem-solving abilities, is passionate about delivering results on-time, exceeding expectations, and ensuring success for our teams.


**Responsibilities:**


* Ensure consistent alignment of Sales and Marketing to optimize the sales process with a focus on improving and evolving a qualified lead process, distribution, and management.
* Provide Sales and Marketing with accurate reporting on the organization's key performance indicators on a consistent basis including actionable steps to improve the experience delivered to current and future customers
* Demonstrated ability to meet deadlines, handle and prioritize simultaneous requests, and manage laterally and upwards
* Creative and analytical thinker with strong problem-solving skills
* Ability to critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs
* Ability to assess the impact of new requirements on Salesforce.com and all upstream and downstream applications, systems and processes


**Requirements:**


* Minimum two years of experience as a Salesforce.com Developer
* Salesforce.com Certified Platform Developer 1 certification required
* Salesforce.com Certified Platform Developer 2 certification preferred
* Minimum two years of experience as a Mulesoft Developer
* MuleSoft Developer Certification - Level 1 Certification Required
* MuleSoft Developer Certification - Level 1 Certification Preferred
* MuleSoft Certified Integration Architect - Level 1 certification Preferred
* Experience building REST and SOAP-based APIs using Mule ESB flows with API-led connectivity architecture.
* Proven ability to design and implement new processes and facilitate user adoption.
* Strong understanding of the platform, with the ability to build custom apps and objects, formula fields, workflows, custom views, Apex classes and other content of advanced complexity
* Strong understanding of Salesforce.com best practices and functionality
* Strong data management abilities
* A documented history of successfully driving projects to completion
* A demonstrated ability to understand and articulate complex requirements
* Excellent project management skills and a positive attitude
* Must demonstrate exceptional verbal and written communication skills
* Must demonstrate ability to communicate effectively at all levels of the organization


**Benefits:**

  

* Health Insurance
* Dental Insurance
* Vision Insurance
* Life Insurance
* PTO
* Sick and Safe Time
* Paid Holidays Off


**Salary: $95,000-100,000/ year**


*Everlight Solar is proudly an Equal Opportunity Employer. We value diversity of all types and are excited to work with talented individuals from a wide range of backgrounds. Everlight is committed to inclusion and we invite people of any race, creed, color, national origin, ancestry, marital status, sexual orientation, gender identity or expression, disability, nationality or sex, age groups (18+), and levels of education to apply. Authorized to work in the US and background check required.*",https://www.glassdoor.com/Overview/W-EI_IE3183804.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009241708460,,Software Engineer - Frontend (Angular),Avive,,,2024-04-17,yearly,100000.0,135000.0,USD,True,,"**About Us:**  

Avive Solutions, Inc. (https://avive.life) is a VC-backed healthcare technology company that has developed an FDA approved, next-generation Automated External Defibrillator (AED) and response system in an effort to – *literally* – save lives. Sudden Cardiac Arrest (SCA) is a leading cause of death in the United States, and we are on a mission to change that! We are a dynamic team that builds elegant, creative solutions to solve complex problems. Ultimately, our mission is for all cardiac arrest victims to have rapid access to life-saving defibrillation.  

  

Avive is taking a fresh approach to addressing this decades-old problem by providing an advanced AED technology, coupled with a first-of-its-kind software platform solution to enable a quicker and more streamlined response to cardiac arrest emergencies. We believe that this unique combination of deploying advanced – yet still accessible – hardware, and novel software, has the potential to revolutionize out-of-hospital cardiac arrest response and massively impact SCA survival rates.  

Check out this short video that shows a glimpse of how our team is working to re-think cardiac arrest response and save lives! https://youtu.be/0AS\_pyg4RB8 **About the Role:**  

We are seeking a Software Engineer – Frontend in Avive’s R&D organization that will develop new software systems from early design stages through production releases, maintenance, and expansions.
### **What you'll do:**

* Develop frontend web applications, encompassing the full spectrum from conceptualization and design to coding, thorough unit testing, and meticulous debugging, adhering to Test-Driven Development (TDD) principles. Craft reusable code that is both scalable and easily testable for future projects.
* Enhance web page performance by optimizing for speed, scalability, and seamless functionality across diverse screens and devices.
* Seamlessly integrate UI/UX design wireframes with backend software systems to create cohesive, user-friendly interfaces.
* Proactively identify and address technical issues and defects through meticulous analysis and implementation of effective solutions.
* Create comprehensive design documentation, including flowcharts, diagrams, and detailed code comments.
* Recommend and leverage Commercial Off-The-Shelf (COTS) software and libraries as appropriate to enhance project efficiency and functionality.
* Fulfill additional software engineering responsibilities as assigned, leveraging capabilities to contribute effectively to project objectives.

### **Who you are:**

* BS degree in Computer Science or Engineering, or equivalent combination of relevant coursework and job-related experience.
* Minimum of five (3) years hands-on experience delivering consumer-facing web applications.
* Minimum of two (2) years and deep expertise in developing with Angular, React, HTML, CSS, JavaScript
* Minimum of three (2) years using Git.
* Excellent verbal and written communication skills, including technical writing.
* Experience with API Design, development, Integration and testing (Postman, Swagger)
* Familiarity with CI/CD and best practices and tooling (Selenium, CodeBuild, GitHub Actions)

### **Bonus points for:**

* Agile with Scrum
* Experience working with Dockers
* Bonus points for programming automation and configuration including Python and Python based frameworks such as Django.

**Equal Employment Opportunity**
It is the policy of the company to provide equal employment opportunity to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, the company will provide reasonable accommodations for qualified individuals with disabilities.  

NOTE: This Job Description in no way states or implies that these are the only duties or functions to be performed by the incumbent. Personnel are required to follow any other job-related instructions and to perform any other job-related duties/functions requested by their supervisor. *Anticipated salary range: $100,000-$135,000\* Annually** *Depending on experience and location*",https://www.glassdoor.com/Overview/W-EI_IE8305608.htm,,,,,,,,,,,Software Engineer,2024-04-20
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009240963117,,Software Development Engineer,OTSI,,,2024-04-17,hourly,48.0,50.0,USD,True,,"Job Overview:

**System C - required** 

**LPDRAM - required** 

**IP Simulation - required**

**Python - is a plus** 

Understand the LPDRAM state machine and develop the hardware models for DRAM features and the related validation test bench.

**Develop memory controller models, including request scheduling, address mapping… etc., to enable new DRAM features.**  
Develop the automation test scripts using Python to improve the overall simulation methodologies.

**Develop new DRAM technology changes per the spec and the state machine and the validation test bench**

Job Type: Contract

Pay: $48.00 - $50.00 per hour

Schedule:

* 8 hour shift

Work Location: Remote",https://www.glassdoor.com/Overview/W-EI_IE1089797.htm,,,,,,,,,,,Software Engineer,2024-04-20
